Lista de indices Diarios da TaxaSelic;20060102;20131025;
Data;Taxa Anual;Fator Diário;Fator Acumulado;
02/01/2006;     17,98;          1,00065635;       1,0006563500000000;
03/01/2006;     17,98;          1,00065635;       1,0013131307953225;
04/01/2006;     17,97;          1,00065601;       1,0019700022222555;
05/01/2006;     17,96;          1,00065567;       1,0026269638936126;
06/01/2006;     17,95;          1,00065534;       1,0032840254481306;
09/01/2006;     17,95;          1,00065534;       1,0039415176013678;
10/01/2006;     17,95;          1,00065534;       1,0045994406355127;
11/01/2006;     17,95;          1,00065534;       1,0052577948329388;
12/01/2006;     17,95;          1,00065534;       1,0059165804762046;
13/01/2006;     17,95;          1,00065534;       1,0065757978480539;
16/01/2006;     17,95;          1,00065534;       1,0072354472314156;
17/01/2006;     17,95;          1,00065534;       1,0078955289094043;
18/01/2006;     17,95;          1,00065534;       1,0085560431653197;
19/01/2006;     17,20;          1,00063001;       1,0091914435580743;
20/01/2006;     17,20;          1,00063001;       1,0098272442594303;
23/01/2006;     17,20;          1,00063001;       1,0104634455215862;
24/01/2006;     17,20;          1,00063001;       1,0111000475968993;
25/01/2006;     17,21;          1,00063035;       1,0117373945119020;
26/01/2006;     17,22;          1,00063068;       1,0123754770518728;
27/01/2006;     17,23;          1,00063102;       1,0130143062254020;
30/01/2006;     17,23;          1,00063102;       1,0136535385129164;
31/01/2006;     17,23;          1,00063102;       1,0142931741687888;
01/02/2006;     17,23;          1,00063102;       1,0149332134475528;
02/02/2006;     17,24;          1,00063136;       1,0155740016811950;
03/02/2006;     17,26;          1,00063204;       1,0162158850732176;
06/02/2006;     17,27;          1,00063238;       1,0168585196746202;
07/02/2006;     17,28;          1,00063272;       1,0175019063971888;
08/02/2006;     17,29;          1,00063305;       1,0181460359790335;
09/02/2006;     17,29;          1,00063305;       1,0187905733271100;
10/02/2006;     17,29;          1,00063305;       1,0194355186995547;
13/02/2006;     17,29;          1,00063305;       1,0200808723546675;
14/02/2006;     17,29;          1,00063305;       1,0207266345509116;
15/02/2006;     17,29;          1,00063305;       1,0213728055469141;
16/02/2006;     17,29;          1,00063305;       1,0220193856014655;
17/02/2006;     17,29;          1,00063305;       1,0226663749735206;
20/02/2006;     17,29;          1,00063305;       1,0233137739221975;
21/02/2006;     17,29;          1,00063305;       1,0239615827067790;
22/02/2006;     17,29;          1,00063305;       1,0246098015867115;
23/02/2006;     17,29;          1,00063305;       1,0252584308216060;
24/02/2006;     17,29;          1,00063305;       1,0259074706712376;
01/03/2006;     17,29;          1,00063305;       1,0265569213955460;
02/03/2006;     17,29;          1,00063305;       1,0272067832546355;
03/03/2006;     17,29;          1,00063305;       1,0278570565087748;
06/03/2006;     17,29;          1,00063305;       1,0285077414183977;
07/03/2006;     17,29;          1,00063305;       1,0291588382441026;
08/03/2006;     17,29;          1,00063305;       1,0298103472466531;
09/03/2006;     16,54;          1,00060758;       1,0304360394174332;
10/03/2006;     16,54;          1,00060758;       1,0310621117462624;
13/03/2006;     16,54;          1,00060758;       1,0316885644641172;
14/03/2006;     16,54;          1,00060758;       1,0323153978021143;
15/03/2006;     16,54;          1,00060758;       1,0329426119915109;
16/03/2006;     16,54;          1,00060758;       1,0335702072637047;
17/03/2006;     16,54;          1,00060758;       1,0341981838502340;
20/03/2006;     16,54;          1,00060758;       1,0348265419827777;
21/03/2006;     16,54;          1,00060758;       1,0354552818931556;
22/03/2006;     16,54;          1,00060758;       1,0360844038133283;
23/03/2006;     16,54;          1,00060758;       1,0367139079753972;
24/03/2006;     16,54;          1,00060758;       1,0373437946116049;
27/03/2006;     16,54;          1,00060758;       1,0379740639543350;
28/03/2006;     16,54;          1,00060758;       1,0386047162361124;
29/03/2006;     16,54;          1,00060758;       1,0392357516896031;
30/03/2006;     16,54;          1,00060758;       1,0398671705476147;
31/03/2006;     16,54;          1,00060758;       1,0404989730430960;
03/04/2006;     16,45;          1,00060452;       1,0411279754822800;
04/04/2006;     16,45;          1,00060452;       1,0417573581660186;
05/04/2006;     16,45;          1,00060452;       1,0423871213241771;
06/04/2006;     16,45;          1,00060452;       1,0430172651867600;
07/04/2006;     16,45;          1,00060452;       1,0436477899839107;
10/04/2006;     16,45;          1,00060452;       1,0442786959459117;
11/04/2006;     16,45;          1,00060452;       1,0449099833031850;
12/04/2006;     16,45;          1,00060452;       1,0455416522862914;
13/04/2006;     16,45;          1,00060452;       1,0461737031259315;
17/04/2006;     16,45;          1,00060452;       1,0468061360529452;
18/04/2006;     16,45;          1,00060452;       1,0474389512983119;
19/04/2006;     16,44;          1,00060417;       1,0480717824895178;
20/04/2006;     15,69;          1,00057852;       1,0486781129771237;
24/04/2006;     15,68;          1,00057817;       1,0492844272017036;
25/04/2006;     15,68;          1,00057817;       1,0498910919789789;
26/04/2006;     15,68;          1,00057817;       1,0504981075116283;
27/04/2006;     15,69;          1,00057852;       1,0511058416767860;
28/04/2006;     15,70;          1,00057886;       1,0517142848042990;
02/05/2006;     15,70;          1,00057886;       1,0523230801352008;
03/05/2006;     15,71;          1,00057920;       1,0529325856632151;
04/05/2006;     15,71;          1,00057920;       1,0535424442168313;
05/05/2006;     15,77;          1,00058126;       1,0541548262979567;
08/05/2006;     15,77;          1,00058126;       1,0547675643322907;
09/05/2006;     15,77;          1,00058126;       1,0553806585267345;
10/05/2006;     15,71;          1,00057920;       1,0559919350041532;
11/05/2006;     15,70;          1,00057886;       1,0566032064956497;
12/05/2006;     15,75;          1,00058058;       1,0572166491852769;
15/05/2006;     15,74;          1,00058023;       1,0578300780016337;
16/05/2006;     15,77;          1,00058126;       1,0584449523127729;
17/05/2006;     15,68;          1,00057817;       1,0590569134308516;
18/05/2006;     15,68;          1,00057817;       1,0596692283664899;
19/05/2006;     15,66;          1,00057749;       1,0602811767491793;
22/05/2006;     15,66;          1,00057749;       1,0608934785259401;
23/05/2006;     15,67;          1,00057783;       1,0615064946046368;
24/05/2006;     15,66;          1,00057749;       1,0621195039902060;
25/05/2006;     15,67;          1,00057783;       1,0627332285031967;
26/05/2006;     15,66;          1,00057749;       1,0633469463153250;
29/05/2006;     15,67;          1,00057783;       1,0639613800813144;
30/05/2006;     15,66;          1,00057749;       1,0645758071386975;
31/05/2006;     15,66;          1,00057749;       1,0651905890215621;
01/06/2006;     15,17;          1,00056063;       1,0657877668214852;
02/06/2006;     15,16;          1,00056028;       1,0663849063914800;
05/06/2006;     15,17;          1,00056063;       1,0669827537615502;
06/06/2006;     15,17;          1,00056063;       1,0675809363027916;
07/06/2006;     15,17;          1,00056063;       1,0681794542031110;
08/06/2006;     15,17;          1,00056063;       1,0687783076505209;
09/06/2006;     15,17;          1,00056063;       1,0693774968331390;
12/06/2006;     15,18;          1,00056097;       1,0699773855275375;
13/06/2006;     15,19;          1,00056132;       1,0705779852335818;
14/06/2006;     15,18;          1,00056097;       1,0711785473659583;
16/06/2006;     15,18;          1,00056097;       1,0717794463956742;
19/06/2006;     15,18;          1,00056097;       1,0723806825117187;
20/06/2006;     15,18;          1,00056097;       1,0729822559031873;
21/06/2006;     15,18;          1,00056097;       1,0735841667592813;
22/06/2006;     15,18;          1,00056097;       1,0741864152693083;
23/06/2006;     15,17;          1,00056063;       1,0747886363993007;
26/06/2006;     15,18;          1,00056097;       1,0753915605806616;
27/06/2006;     15,18;          1,00056097;       1,0759948229844006;
28/06/2006;     15,18;          1,00056097;       1,0765984238002501;
29/06/2006;     15,18;          1,00056097;       1,0772023632180494;
30/06/2006;     15,18;          1,00056097;       1,0778066414277438;
03/07/2006;     15,17;          1,00056063;       1,0784108921651274;
04/07/2006;     15,18;          1,00056097;       1,0790158483233053;
05/07/2006;     15,18;          1,00056097;       1,0796211438437392;
06/07/2006;     15,18;          1,00056097;       1,0802267789168013;
07/07/2006;     15,18;          1,00056097;       1,0808327537329702;
10/07/2006;     15,18;          1,00056097;       1,0814390684828318;
11/07/2006;     15,18;          1,00056097;       1,0820457233570786;
12/07/2006;     15,18;          1,00056097;       1,0826527185465102;
13/07/2006;     15,18;          1,00056097;       1,0832600542420333;
14/07/2006;     15,18;          1,00056097;       1,0838677306346614;
17/07/2006;     15,16;          1,00056028;       1,0844750000467814;
18/07/2006;     15,19;          1,00056132;       1,0850837375538077;
19/07/2006;     15,17;          1,00056063;       1,0856920680495925;
20/07/2006;     14,66;          1,00054301;       1,0862816096994641;
21/07/2006;     14,65;          1,00054266;       1,0868710912777836;
24/07/2006;     14,66;          1,00054301;       1,0874612731490583;
25/07/2006;     14,66;          1,00054301;       1,0880517754949910;
26/07/2006;     14,66;          1,00054301;       1,0886425984896025;
27/07/2006;     14,66;          1,00054301;       1,0892337423070084;
28/07/2006;     14,65;          1,00054266;       1,0898248258896087;
31/07/2006;     14,66;          1,00054301;       1,0904166116683150;
01/08/2006;     14,66;          1,00054301;       1,0910087187926170;
02/08/2006;     14,66;          1,00054301;       1,0916011474370086;
03/08/2006;     14,67;          1,00054335;       1,0921942689204685;
04/08/2006;     14,66;          1,00054301;       1,0927873413304350;
07/08/2006;     14,66;          1,00054301;       1,0933807357846508;
08/08/2006;     14,66;          1,00054301;       1,0939744524579893;
09/08/2006;     14,66;          1,00054301;       1,0945684915254185;
10/08/2006;     14,66;          1,00054301;       1,0951628531620017;
11/08/2006;     14,67;          1,00054335;       1,0957579098982673;
14/08/2006;     14,69;          1,00054405;       1,0963540569891474;
15/08/2006;     14,70;          1,00054439;       1,0969509011742317;
16/08/2006;     14,69;          1,00054405;       1,0975476973120156;
17/08/2006;     14,69;          1,00054405;       1,0981448181367382;
18/08/2006;     14,74;          1,00054578;       1,0987441636155809;
21/08/2006;     14,70;          1,00054439;       1,0993423089508115;
22/08/2006;     14,69;          1,00054405;       1,0999404061339962;
23/08/2006;     14,68;          1,00054370;       1,1005384437328113;
24/08/2006;     14,69;          1,00054405;       1,1011371916731241;
25/08/2006;     14,68;          1,00054370;       1,1017358799642368;
28/08/2006;     14,69;          1,00054405;       1,1023352793697313;
29/08/2006;     14,69;          1,00054405;       1,1029350048784724;
30/08/2006;     14,67;          1,00054335;       1,1035342846133732;
31/08/2006;     14,18;          1,00052635;       1,1041151298840794;
01/09/2006;     14,17;          1,00052600;       1,1046958944423984;
04/09/2006;     14,17;          1,00052600;       1,1052769644828751;
05/09/2006;     14,18;          1,00052635;       1,1058587270131307;
06/09/2006;     14,17;          1,00052600;       1,1064404087035396;
08/09/2006;     14,17;          1,00052600;       1,1070223963585177;
11/09/2006;     14,17;          1,00052600;       1,1076046901390022;
12/09/2006;     14,17;          1,00052600;       1,1081872902060154;
13/09/2006;     14,17;          1,00052600;       1,1087701967206637;
14/09/2006;     14,17;          1,00052600;       1,1093534098441388;
15/09/2006;     14,17;          1,00052600;       1,1099369297377168;
18/09/2006;     14,16;          1,00052566;       1,1105203791842027;
19/09/2006;     14,17;          1,00052600;       1,1111045129036536;
20/09/2006;     14,17;          1,00052600;       1,1116889538774410;
21/09/2006;     14,18;          1,00052635;       1,1122740913583143;
22/09/2006;     14,17;          1,00052600;       1,1128591475303688;
25/09/2006;     14,17;          1,00052600;       1,1134445114419698;
26/09/2006;     14,17;          1,00052600;       1,1140301832549883;
27/09/2006;     14,17;          1,00052600;       1,1146161631313804;
28/09/2006;     14,17;          1,00052600;       1,1152024512331875;
29/09/2006;     14,17;          1,00052600;       1,1157890477225362;
02/10/2006;     14,16;          1,00052566;       1,1163755733933620;
03/10/2006;     14,16;          1,00052566;       1,1169624073772719;
04/10/2006;     14,16;          1,00052566;       1,1175495498363339;
05/10/2006;     14,16;          1,00052566;       1,1181370009327008;
06/10/2006;     14,17;          1,00052600;       1,1187251409951914;
09/10/2006;     14,16;          1,00052566;       1,1193132100528070;
10/10/2006;     14,16;          1,00052566;       1,1199015882348033;
11/10/2006;     14,16;          1,00052566;       1,1204902757036748;
13/10/2006;     14,16;          1,00052566;       1,1210792726220012;
16/10/2006;     14,16;          1,00052566;       1,1216685791524477;
17/10/2006;     14,16;          1,00052566;       1,1222581954577650;
18/10/2006;     14,16;          1,00052566;       1,1228481217007893;
19/10/2006;     13,67;          1,00050858;       1,1234191797985239;
20/10/2006;     13,65;          1,00050788;       1,1239897419315600;
23/10/2006;     13,66;          1,00050823;       1,1245609872381019;
24/10/2006;     13,67;          1,00050858;       1,1251329164649914;
25/10/2006;     13,68;          1,00050893;       1,1257055303601679;
26/10/2006;     13,68;          1,00050893;       1,1262784356757341;
27/10/2006;     13,67;          1,00050858;       1,1268512383625501;
30/10/2006;     13,68;          1,00050893;       1,1274247267632900;
31/10/2006;     13,68;          1,00050893;       1,1279985070294816;
01/11/2006;     13,68;          1,00050893;       1,1285725793096641;
03/11/2006;     13,67;          1,00050858;       1,1291465487520494;
06/11/2006;     13,69;          1,00050928;       1,1297216005063979;
07/11/2006;     13,69;          1,00050928;       1,1302969451231038;
08/11/2006;     13,69;          1,00050928;       1,1308725827513161;
09/11/2006;     13,68;          1,00050893;       1,1314481177348557;
10/11/2006;     13,66;          1,00050823;       1,1320231536117321;
13/11/2006;     13,68;          1,00050893;       1,1325992741552997;
14/11/2006;     13,67;          1,00050858;       1,1331752914941496;
16/11/2006;     13,66;          1,00050823;       1,1337512051725457;
17/11/2006;     13,66;          1,00050823;       1,1343274115475505;
20/11/2006;     13,68;          1,00050893;       1,1349047047971094;
21/11/2006;     13,68;          1,00050893;       1,1354822918485218;
22/11/2006;     13,66;          1,00050823;       1,1360593780137080;
23/11/2006;     13,67;          1,00050858;       1,1366371550921782;
24/11/2006;     13,66;          1,00050823;       1,1372148281935107;
27/11/2006;     13,66;          1,00050823;       1,1377927948856435;
28/11/2006;     13,68;          1,00050893;       1,1383718517727446;
29/11/2006;     13,68;          1,00050893;       1,1389512033592673;
30/11/2006;     13,18;          1,00049143;       1,1395109181491342;
01/12/2006;     13,18;          1,00049143;       1,1400709079996402;
04/12/2006;     13,18;          1,00049143;       1,1406311730459585;
05/12/2006;     13,19;          1,00049178;       1,1411921126442390;
06/12/2006;     13,18;          1,00049143;       1,1417529286841558;
07/12/2006;     13,18;          1,00049143;       1,1423140203258990;
08/12/2006;     13,18;          1,00049143;       1,1428753877049078;
11/12/2006;     13,19;          1,00049178;       1,1434374309630733;
12/12/2006;     13,18;          1,00049143;       1,1439993504197715;
13/12/2006;     13,19;          1,00049178;       1,1445619464203209;
14/12/2006;     13,19;          1,00049178;       1,1451248190943315;
